"leader","year begin","country","region","left right","president","average score","speech category"
"abel pacheco",2002,"Costa Rica","Latin America & Caribbean",1,1,0.222222222,"Not populist"
"adian nastase",2000,"Romania","Europe & Central Asia",-1,0,0.325,"Not populist"
"aigars kalvitis",2004,"Latvia","Europe & Central Asia",1,0,0.5,"Somewhat populist"
"alan garcia",2006,"Peru","Latin America & Caribbean",0,1,1,"Populist"
"alejandro toledo",2001,"Peru","Latin America & Caribbean",0,1,0.333333333,"Not populist"
"alfred gusenbauer",2007,"Austria","Europe & Central Asia",-1,0,0.2875,"Not populist"
"alfredo palacio",2005,"Ecuador","Latin America & Caribbean",0,1,0.388888889,"Not populist"
"alvaro colom caballero",2008,"Guatemala","Latin America & Caribbean",0,1,0.125,"Not populist"
"andres manuel lopez obrador",2018,"Mexico","Latin America & Caribbean",-1,1,0.975,"Populist"
"andres pastrana",1998,"Colombia","Latin America & Caribbean",1,1,0.025,"Not populist"
"angela merkel",2013,"Germany","Europe & Central Asia",0,0,0.0375,"Not populist"
"antonio saca",2004,"El Salvador","Latin America & Caribbean",1,1,0.583333333,"Somewhat populist"
"atal bihari vajpayee",1998,"India","South Asia",1,0,0.0375,"Not populist"
"barack obama",2013,"United States","North America",-1,1,0.2875,"Not populist"
"beate szydlo",2015,"Poland","Europe & Central Asia",1,0,0.8625,"Somewhat populist"
"bohuslav sobotka",2014,"Czech Republic","Europe & Central Asia",-1,0,0,"Not populist"
"boyko borisov",2017,"Bulgaria","Europe & Central Asia",0,0,0.133333333,"Not populist"
"calin popescu tariceanu",2004,"Romania","Europe & Central Asia",1,0,0.375,"Not populist"
"carlos flores",1998,"Honduras","Latin America & Caribbean",1,1,0.05,"Not populist"
"cristina fernandez",2007,"Argentina","Latin America & Caribbean",-1,1,0,"Not populist"
"dacian ciolos",2015,"Romania","Europe & Central Asia",0,0,0.3,"Not populist"
"daniel ortega",2015,"Nicaragua","Latin America & Caribbean",0,1,0.85,"Somewhat populist"
"danilo medina",2016,"Dominican Republic","Latin America & Caribbean",1,1,0.375,"Not populist"
"david cameron",2010,"UK","Europe & Central Asia",1,0,0.0125,"Not populist"
"dilma rousseff",2015,"Brazil","Latin America & Caribbean",-1,1,0.3375,"Not populist"
"donald trump",2017,"United States","North America",1,1,0.779166667,"Somewhat populist"
"donald tusk",2011,"Poland","Europe & Central Asia",1,0,0,"Not populist"
"eduardo duhalde",2002,"Argentina","Latin America & Caribbean",0,1,0.533333333,"Somewhat populist"
"einars repse",2002,"Latvia","Europe & Central Asia",1,0,0.5,"Somewhat populist"
"emil boc",2008,"Romania","Europe & Central Asia",1,0,0.25,"Not populist"
"emmanuel macron",2017,"France","Europe & Central Asia",0,1,0.15,"Not populist"
"enrique bolanos",2002,"Nicaragua","Latin America & Caribbean",1,1,0,"Not populist"
"enrique pena nieto",2012,"Mexico","Latin America & Caribbean",0,1,0,"Not populist"
"erna solberg",2013,"Norway","Europe & Central Asia",1,0,0.0875,"Not populist"
"evo morales",2015,"Bolivia","Latin America & Caribbean",-1,1,1.4625,"Very Populist"
"faymann",2013,"Austria","Europe & Central Asia",-1,0,0.1,"Not populist"
"federico franco",2012,"Paraguay","Latin America & Caribbean",1,1,0,"Not populist"
"felipe calderon",2006,"Mexico","Latin America & Caribbean",1,1,0.125,"Not populist"
"ferenc gyurcsany",2004,"Hungary","Europe & Central Asia",-1,0,0,"Not populist"
"fernando de la rua",1999,"Argentina","Latin America & Caribbean",0,1,0.175,"Not populist"
"fernando henrique cardoso",1999,"Brazil","Latin America & Caribbean",0,1,0,"Not populist"
"fernando lugo",2008,"Paraguay","Latin America & Caribbean",-1,1,0,"Not populist"
"francisco flores",1999,"El Salvador","Latin America & Caribbean",1,1,0,"Not populist"
"francois hollande",2012,"France","Europe & Central Asia",-1,1,0.1375,"Not populist"
"fredrik reinfeldt",2006,"Sweden","Europe & Central Asia",1,0,0,"Not populist"
"george w. bush",2005,"United States","North America",1,1,0.1875,"Not populist"
"gerhard schroeder",1998,"Germany","Europe & Central Asia",-1,0,0,"Not populist"
"giuseppe conte",2018,"Italy","Europe & Central Asia",0,0,1,"Somewhat populist"
"gonzalo sanchez de lozada",2002,"Bolivia","Latin America & Caribbean",0,1,0.225,"Not populist"
"goran persson",2002,"Sweden","Europe & Central Asia",-1,0,0,"Not populist"
"gordon brown",2007,"UK","Europe & Central Asia",-1,0,0.075,"Not populist"
"gustavo noboa",2000,"Ecuador","Latin America & Caribbean",0,1,0.233333333,"Not populist"
"hipolito mejia",2000,"Dominican Republic","Latin America & Caribbean",0,1,0.075,"Not populist"
